id_projet,intitule,organisation,thematiques,odd,annee_debut,annee_fin,etat,resume,unites_admin2,partenaires,bailleurs,budget_eur,beneficiaires,_id,_submission_time
IFS-2023-001,Restauration des terres dégradées autour de Saint-Louis,grdr,energie,7 13 15,2023,2026,en_cours,Le projet diffuse des solutions énergétiques sobres et restaure les ressources naturelles avec les communautés.,SN-R04,Union des groupements féminins; Association des usagers du forage,Agence de coopération européenne,378000,21220,480001,2026-06-24T08:52:00
IFS-2025-002,Foyers améliorés et bois-énergie à Mali,geres,energie,7 13 15,2025,2027,en_cours,Le projet diffuse des solutions énergétiques sobres et restaure les ressources naturelles avec les communautés.,GN-R05 GN-R04,Réseau des maires riverains; Radio communautaire; Union des groupements féminins,Fonds pour les initiatives locales; Programme Eau et Territoires,303000,2310,480002,2026-09-23T09:25:00
IFS-2023-003,Investissements de la diaspora dans les services de Tougué,lp,migr gouv,10 11 16 17,2023,2026,en_cours,Le projet valorise la contribution des migrants et de leurs associations au développement de leur territoire d'origine.,GN-R08 GN-R06,Association des ressortissants en France,Programme Eau et Territoires,325000,6620,480003,2026-09-17T09:40:00
IFS-2024-004,Accueil et insertion des jeunes de retour à Koubia,ados,migr,10 17,2024,2027,en_cours,Le projet valorise la contribution des migrants et de leurs associations au développement de leur territoire d'origine.,GN-R04 GN-R02,Réseau des maires riverains,Programme régional de résilience; Fondation Terres d'avenir,1197000,3330,480004,2026-09-21T11:16:00
IFS-2025-005,Insertion des jeunes par les métiers de l'eau à Mali,lp,jeun,4 8,2025,2027,en_cours,Le projet propose des formations qualifiantes et un accompagnement vers l'emploi aux jeunes du territoire.,GN-R05 GN-R04,Association des usagers du forage; Organisation paysanne faîtière; Groupement de pêcheurs,Fonds Sahel Solidaire,665000,1700,480005,2026-07-23T10:28:00
IFS-2021-006,Formation professionnelle des jeunes ruraux de Kédougou,ados,jeun,4 8,2021,2023,termine,Le projet propose des formations qualifiantes et un accompagnement vers l'emploi aux jeunes du territoire.,SN-R01,Groupement de pêcheurs; Réseau des maires riverains,Coopération décentralisée (collectivités partenaires); Programme régional de résilience,119000,8210,480006,2026-07-26T12:05:00
IFS-2022-007,Investissements de la diaspora dans les services de Dinguiraye,ados,migr risques,10 11 13 17,2022,2023,termine,Le projet valorise la contribution des migrants et de leurs associations au développement de leur territoire d'origine.,GN-R03 GN-R01,Comité villageois de gestion; Radio communautaire; Commission foncière communale,Fonds Sahel Solidaire,252000,17270,480007,2026-09-24T17:39:00
IFS-2022-008,Investissements de la diaspora dans les services de Brakna,grdr,migr,10 17,2022,2026,en_cours,Le projet valorise la contribution des migrants et de leurs associations au développement de leur territoire d'origine.,MR-R01,Groupement de pêcheurs; Union des groupements féminins,Coopération décentralisée (collectivités partenaires),111000,860,480008,2026-07-15T18:54:00
IFS-2022-009,Accueil et insertion des jeunes de retour à Brakna,avsf,migr,10 17,2022,2024,termine,Le projet valorise la contribution des migrants et de leurs associations au développement de leur territoire d'origine.,MR-R01,Plateforme des acteurs non étatiques; Groupement de pêcheurs,Fonds Sahel Solidaire,155000,8440,480009,2026-08-13T11:14:00
IFS-2024-010,Formation professionnelle des jeunes ruraux de Kédougou,ados,jeun,4 8,2024,2027,en_cours,Le projet propose des formations qualifiantes et un accompagnement vers l'emploi aux jeunes du territoire.,SN-R01 SN-R05,Direction régionale de l'élevage; Agence régionale de développement,Agence de coopération européenne; Programme régional de résilience,618000,16120,480010,2026-08-27T10:06:00
